Date,US_CPI_LEVEL
1994-03-28,146.19636363636363
1994-03-29,146.5309090909091
1994-03-30,146.86545454545453
1994-03-31,147.2
1994-04-01,140.03
1994-04-04,140.3985
1994-04-05,140.767
1994-04-06,141.1355
1994-04-07,141.504
1994-04-08,141.8725
1994-04-11,142.241
1994-04-12,142.6095
1994-04-13,142.978
1994-04-14,143.3465
1994-04-15,143.715
1994-04-18,144.08350000000002
1994-04-19,144.452
1994-04-20,144.8205
1994-04-21,145.189
1994-04-22,145.5575
1994-04-25,145.92600000000002
1994-04-26,146.2945
1994-04-27,146.663
1994-04-28,147.0315
1994-04-29,147.4
1994-05-02,140.125
1994-05-03,140.47619047619048
1994-05-04,140.82738095238096
1994-05-05,141.17857142857142
1994-05-06,141.5297619047619
1994-05-09,141.88095238095238
1994-05-10,142.23214285714286
1994-05-11,142.58333333333334
1994-05-12,142.9345238095238
1994-05-13,143.28571428571428
1994-05-16,143.63690476190476
1994-05-17,143.98809523809524
1994-05-18,144.33928571428572
1994-05-19,144.6904761904762
1994-05-20,145.04166666666666
1994-05-23,145.39285714285714
1994-05-24,145.74404761904762
1994-05-25,146.0952380952381
1994-05-26,146.44642857142858
1994-05-27,146.79761904761904
1994-05-30,147.14880952380952
1994-05-31,147.5
1994-06-01,140.6
1994-06-02,140.95238095238093
1994-06-03,141.3047619047619
1994-06-06,141.65714285714284
1994-06-07,142.0095238095238
1994-06-08,142.36190476190475
1994-06-09,142.71428571428572
1994-06-10,143.06666666666666
1994-06-13,143.4190476190476
1994-06-14,143.77142857142857
1994-06-15,144.1238095238095
1994-06-16,144.47619047619048
1994-06-17,144.82857142857142
1994-06-20,145.1809523809524
1994-06-21,145.53333333333333
1994-06-22,145.88571428571427
1994-06-23,146.23809523809524
1994-06-24,146.59047619047618
1994-06-27,146.94285714285715
1994-06-28,147.2952380952381
1994-06-29,147.64761904761906
1994-06-30,148.0
1994-07-01,140.98
1994-07-04,141.351
1994-07-05,141.72199999999998
1994-07-06,142.093
1994-07-07,142.464
1994-07-08,142.83499999999998
1994-07-11,143.206
1994-07-12,143.577
1994-07-13,143.948
1994-07-14,144.319
1994-07-15,144.69
1994-07-18,145.061
1994-07-19,145.432
1994-07-20,145.803
1994-07-21,146.174
1994-07-22,146.54500000000002
1994-07-25,146.916
1994-07-26,147.287
1994-07-27,147.65800000000002
1994-07-28,148.029
1994-07-29,148.4
1994-08-01,141.54999999999998
1994-08-02,141.88863636363635
