Date,US_CPI_DAILY_INTERP
2021-07-19,272.5237666666667
2021-07-20,272.56733333333335
2021-07-21,272.6109
2021-07-22,272.6544666666667
2021-07-23,272.69803333333334
2021-07-26,272.82873333333333
2021-07-27,272.8723
2021-07-28,272.91586666666666
2021-07-29,272.9594333333333
2021-07-30,273.003
2021-08-02,273.055875
2021-08-03,273.07349999999997
2021-08-04,273.091125
2021-08-05,273.10875
2021-08-06,273.126375
2021-08-09,273.17924999999997
2021-08-10,273.196875
2021-08-11,273.2145
2021-08-12,273.232125
2021-08-13,273.24975
2021-08-16,273.302625
2021-08-17,273.32025
2021-08-18,273.337875
2021-08-19,273.3555
2021-08-20,273.373125
2021-08-23,273.426
2021-08-24,273.443625
2021-08-25,273.46125
2021-08-26,273.478875
2021-08-27,273.4965
2021-08-30,273.549375
2021-08-31,273.567
2021-09-01,273.5917666666667
2021-09-02,273.61653333333334
2021-09-03,273.6413
2021-09-06,273.7156
2021-09-07,273.74036666666666
2021-09-08,273.7651333333333
2021-09-09,273.7899
2021-09-10,273.81466666666665
2021-09-13,273.88896666666665
2021-09-14,273.9137333333333
2021-09-15,273.93850000000003
2021-09-16,273.9632666666667
2021-09-17,273.98803333333336
2021-09-20,274.06233333333336
2021-09-21,274.0871
2021-09-22,274.1118666666667
2021-09-23,274.13663333333335
2021-09-24,274.1614
2021-09-27,274.2357
2021-09-28,274.2604666666667
2021-09-29,274.28523333333334
2021-09-30,274.31
2021-10-01,274.38858620689655
2021-10-04,274.6243448275862
2021-10-05,274.7029310344828
2021-10-06,274.78151724137933
2021-10-07,274.8601034482759
2021-10-08,274.9386896551724
2021-10-11,275.17444827586206
2021-10-12,275.2530344827586
2021-10-13,275.33162068965515
2021-10-14,275.4102068965517
2021-10-15,275.4887931034483
2021-10-18,275.72455172413794
2021-10-19,275.8031379310345
2021-10-20,275.88172413793103
2021-10-21,275.9603103448276
2021-10-22,276.0388965517241
2021-10-25,276.2746551724138
2021-10-26,276.35324137931036
2021-10-27,276.4318275862069
2021-10-28,276.51041379310345
2021-10-29,276.589
2021-11-01,276.71640625
2021-11-02,276.758875
2021-11-03,276.80134375
2021-11-04,276.8438125
2021-11-05,276.88628124999997
2021-11-08,277.0136875
2021-11-09,277.05615625
2021-11-10,277.09862499999997
2021-11-11,277.14109375
2021-11-12,277.1835625
2021-11-15,277.31096875
2021-11-16,277.3534375
2021-11-17,277.39590625
2021-11-18,277.438375
2021-11-19,277.48084374999996
2021-11-22,277.60825
2021-11-23,277.65071875
2021-11-24,277.69318749999996
2021-11-25,277.73565625
2021-11-26,277.778125
2021-11-29,277.90553124999997
2021-11-30,277.948
2021-12-01,277.97554838709675
2021-12-02,278.0030967741935
2021-12-03,278.0306451612903
2021-12-06,278.1132903225806
2021-12-07,278.1408387096774
2021-12-08,278.1683870967742
2021-12-09,278.195935483871
2021-12-10,278.22348387096775
2021-12-13,278.30612903225807
2021-12-14,278.33367741935484
2021-12-15,278.3612258064516
2021-12-16,278.3887741935484
2021-12-17,278.41632258064516
2021-12-20,278.4989677419355
2021-12-21,278.52651612903225
2021-12-22,278.554064516129
2021-12-23,278.5816129032258
2021-12-24,278.6091612903226
2021-12-27,278.69180645161293
2021-12-28,278.7193548387097
2021-12-29,278.7469032258065
2021-12-30,278.77445161290325
2021-12-31,278.802
2022-01-03,279.02903225806455
2022-01-04,279.10470967741935
2022-01-05,279.1803870967742
2022-01-06,279.2560645161291
2022-01-07,279.3317419354839
2022-01-10,279.5587741935484
2022-01-11,279.63445161290326
2022-01-12,279.71012903225807
2022-01-13,279.7858064516129
2022-01-14,279.8614838709678
2022-01-17,280.08851612903226
2022-01-18,280.1641935483871
2022-01-19,280.239870967742
2022-01-20,280.3155483870968
2022-01-21,280.39122580645164
2022-01-24,280.61825806451617
2022-01-25,280.693935483871
2022-01-26,280.76961290322583
2022-01-27,280.8452903225807
2022-01-28,280.9209677419355
2022-01-31,281.148
2022-02-01,281.2397142857143
2022-02-02,281.3314285714286
2022-02-03,281.42314285714286
2022-02-04,281.5148571428572
2022-02-07,281.79
2022-02-08,281.8817142857143
2022-02-09,281.9734285714286
2022-02-10,282.06514285714286
2022-02-11,282.1568571428572
2022-02-14,282.432
2022-02-15,282.5237142857143
2022-02-16,282.6154285714286
2022-02-17,282.70714285714286
2022-02-18,282.7988571428572
2022-02-21,283.074
2022-02-22,283.1657142857143
2022-02-23,283.2574285714286
2022-02-24,283.34914285714285
2022-02-25,283.44085714285717
2022-02-28,283.716
2022-03-01,283.8381935483871
2022-03-02,283.9603870967742
2022-03-03,284.0825806451613
2022-03-04,284.2047741935484
2022-03-07,284.5713548387097
2022-03-08,284.69354838709677
2022-03-09,284.81574193548386
2022-03-10,284.937935483871
2022-03-11,285.0601290322581
2022-03-14,285.42670967741935
2022-03-15,285.54890322580644
2022-03-16,285.6710967741936
2022-03-17,285.7932903225807
2022-03-18,285.91548387096776
2022-03-21,286.282064516129
2022-03-22,286.40425806451617
2022-03-23,286.52645161290326
2022-03-24,286.64864516129035
2022-03-25,286.77083870967743
2022-03-28,287.13741935483876
2022-03-29,287.25961290322584
2022-03-30,287.38180645161293
2022-03-31,287.504
2022-04-01,287.55934482758624
2022-04-04,287.72537931034486
2022-04-05,287.78072413793103
2022-04-06,287.83606896551726
2022-04-07,287.8914137931035
2022-04-08,287.94675862068965
2022-04-11,288.11279310344827
2022-04-12,288.1681379310345
2022-04-13,288.2234827586207
2022-04-14,288.2788275862069
2022-04-15,288.3341724137931
2022-04-18,288.50020689655173
2022-04-19,288.5555517241379
2022-04-20,288.6108965517241
2022-04-21,288.66624137931035
2022-04-22,288.7215862068965
2022-04-25,288.88762068965514
2022-04-26,288.94296551724136
2022-04-27,288.9983103448276
2022-04-28,289.05365517241376
2022-04-29,289.109
2022-05-02,289.40778124999997
2022-05-03,289.50737499999997
2022-05-04,289.60696874999996
2022-05-05,289.70656249999996
2022-05-06,289.80615624999996
2022-05-09,290.1049375
2022-05-10,290.20453125
2022-05-11,290.304125
2022-05-12,290.40371875
2022-05-13,290.5033125
2022-05-16,290.80209375
2022-05-17,290.9016875
2022-05-18,291.00128125
2022-05-19,291.100875
2022-05-20,291.20046874999997
2022-05-23,291.49924999999996
2022-05-24,291.59884375
2022-05-25,291.6984375
2022-05-26,291.79803125
2022-05-27,291.897625
2022-05-30,292.19640625
2022-05-31,292.296
2022-06-01,292.4298333333333
2022-06-02,292.5636666666667
2022-06-03,292.6975
2022-06-06,293.099
2022-06-07,293.2328333333333
2022-06-08,293.3666666666667
2022-06-09,293.5005
2022-06-10,293.6343333333333
2022-06-13,294.0358333333333
2022-06-14,294.16966666666667
2022-06-15,294.3035
2022-06-16,294.4373333333333
2022-06-17,294.57116666666667
2022-06-20,294.97266666666667
2022-06-21,295.1065
2022-06-22,295.2403333333333
2022-06-23,295.37416666666667
2022-06-24,295.508
2022-06-27,295.9095
2022-06-28,296.0433333333333
2022-06-29,296.17716666666666
2022-06-30,296.311
2022-07-01,296.30979310344827
2022-07-04,296.3061724137931
2022-07-05,296.3049655172414
2022-07-06,296.3037586206896
2022-07-07,296.3025517241379
2022-07-08,296.3013448275862
2022-07-11,296.297724137931
2022-07-12,296.2965172413793
2022-07-13,296.29531034482756
2022-07-14,296.29410344827585
2022-07-15,296.29289655172414
2022-07-18,296.28927586206896
2022-07-19,296.28806896551725
2022-07-20,296.2868620689655
2022-07-21,296.2856551724138
2022-07-22,296.2844482758621
2022-07-25,296.2808275862069
2022-07-26,296.2796206896552
2022-07-27,296.2784137931035
2022-07-28,296.2772068965517
2022-07-29,296.276
2022-08-01,296.26645454545456
2022-08-02,296.26327272727275
2022-08-03,296.26009090909093
2022-08-04,296.2569090909091
2022-08-05,296.2537272727273
2022-08-08,296.2441818181818
2022-08-09,296.241
2022-08-10,296.23781818181817
2022-08-11,296.23463636363635
2022-08-12,296.23145454545454
2022-08-15,296.2219090909091
2022-08-16,296.2187272727273
2022-08-17,296.21554545454546
2022-08-18,296.21236363636365
2022-08-19,296.20918181818183
2022-08-22,296.1996363636364
2022-08-23,296.1964545454545
2022-08-24,296.1932727272727
2022-08-25,296.1900909090909
2022-08-26,296.18690909090907
2022-08-29,296.1773636363636
2022-08-30,296.1741818181818
2022-08-31,296.171
2022-09-01,296.1922333333333
2022-09-02,296.21346666666665
2022-09-05,296.27716666666663
2022-09-06,296.2984
2022-09-07,296.31963333333334
2022-09-08,296.34086666666667
2022-09-09,296.3621
2022-09-12,296.4258
2022-09-13,296.4470333333333
2022-09-14,296.46826666666664
2022-09-15,296.48949999999996
2022-09-16,296.51073333333335
2022-09-19,296.57443333333333
2022-09-20,296.59566666666666
2022-09-21,296.6169
2022-09-22,296.6381333333333
2022-09-23,296.65936666666664
2022-09-26,296.7230666666667
2022-09-27,296.7443
2022-09-28,296.76553333333334
2022-09-29,296.78676666666667
2022-09-30,296.808
2022-10-03,296.92451612903227
2022-10-04,296.9633548387097
2022-10-05,297.0021935483871
2022-10-06,297.0410322580645
2022-10-07,297.07987096774195
2022-10-10,297.1963870967742
2022-10-11,297.2352258064516
2022-10-12,297.27406451612904
2022-10-13,297.31290322580645
2022-10-14,297.35174193548386
2022-10-17,297.46825806451614
2022-10-18,297.50709677419354
2022-10-19,297.54593548387095
2022-10-20,297.5847741935484
2022-10-21,297.6236129032258
2022-10-24,297.74012903225804
2022-10-25,297.7789677419355
2022-10-26,297.8178064516129
2022-10-27,297.8566451612903
2022-10-28,297.8954838709677
2022-10-31,298.012
2022-11-01,298.00196666666665
2022-11-02,297.99193333333335
2022-11-03,297.9819
2022-11-04,297.97186666666664
2022-11-07,297.9417666666667
2022-11-08,297.93173333333334
2022-11-09,297.9217
2022-11-10,297.9116666666667
2022-11-11,297.90163333333334
2022-11-14,297.87153333333333
2022-11-15,297.86150000000004
2022-11-16,297.8514666666667
2022-11-17,297.8414333333333
2022-11-18,297.83140000000003
2022-11-21,297.8013
2022-11-22,297.7912666666667
2022-11-23,297.7812333333333
2022-11-24,297.7712
2022-11-25,297.76116666666667
2022-11-28,297.73106666666666
2022-11-29,297.72103333333337
2022-11-30,297.711
2022-12-01,297.68053333333336
2022-12-02,297.6500666666667
2022-12-05,297.5586666666667
2022-12-06,297.5282
2022-12-07,297.4977333333334
2022-12-08,297.46726666666666
2022-12-09,297.4368
2022-12-12,297.34540000000004
2022-12-13,297.31493333333333
2022-12-14,297.2844666666667
2022-12-15,297.254
2022-12-16,297.22353333333336
2022-12-19,297.13213333333334
2022-12-20,297.1016666666667
2022-12-21,297.07120000000003
2022-12-22,297.0407333333334
2022-12-23,297.01026666666667
2022-12-26,296.9188666666667
2022-12-27,296.88840000000005
2022-12-28,296.85793333333334
2022-12-29,296.8274666666667
2022-12-30,296.797
2023-01-02,297.01946875000004
2023-01-03,297.09362500000003
2023-01-04,297.16778125
2023-01-05,297.2419375
2023-01-06,297.31609375000005
2023-01-09,297.5385625
2023-01-10,297.61271875
2023-01-11,297.68687500000004
2023-01-12,297.76103125000003
2023-01-13,297.8351875
2023-01-16,298.05765625000004
2023-01-17,298.1318125
2023-01-18,298.20596875
2023-01-19,298.280125
2023-01-20,298.35428125000004
2023-01-23,298.57675
2023-01-24,298.65090625
2023-01-25,298.72506250000004
2023-01-26,298.79921875
2023-01-27,298.873375
2023-01-30,299.09584375000003
2023-01-31,299.17
2023-02-01,299.2296428571429
2023-02-02,299.2892857142857
2023-02-03,299.3489285714286
2023-02-06,299.52785714285716
2023-02-07,299.58750000000003
2023-02-08,299.64714285714285
2023-02-09,299.70678571428573
2023-02-10,299.76642857142855
2023-02-13,299.9453571428571
2023-02-14,300.005
