Date,GPRI
1947-05-12,89.21427720592868
1947-05-13,89.1284664523217
1947-05-14,89.04265569871471
1947-05-15,88.95684494510773
1947-05-16,88.87103419150075
1947-05-19,88.61360193067982
1947-05-20,88.52779117707283
1947-05-21,88.44198042346585
1947-05-22,88.35616966985887
1947-05-23,88.2703589162519
1947-05-26,88.01292665543095
1947-05-27,87.92711590182397
1947-05-28,87.84130514821699
1947-05-29,87.75549439461001
1947-05-30,87.66968364100302
1947-06-02,88.28531595865886
1947-06-03,89.07256978352865
1947-06-04,89.85982360839844
1947-06-05,90.64707743326822
1947-06-06,91.43433125813802
1947-06-09,93.7960927327474
1947-06-10,94.58334655761719
1947-06-11,95.37060038248698
1947-06-12,96.15785420735676
1947-06-13,96.94510803222656
1947-06-16,99.30686950683594
1947-06-17,100.09412333170573
1947-06-18,100.88137715657552
1947-06-19,101.66863098144532
1947-06-20,102.4558848063151
1947-06-23,104.81764628092448
1947-06-24,105.60490010579427
1947-06-25,106.39215393066407
1947-06-26,107.17940775553386
1947-06-27,107.96666158040364
1947-06-30,110.32842305501302
1947-07-01,111.11567687988281
1947-07-02,111.17400458551222
1947-07-03,111.23233229114163
1947-07-04,111.29065999677104
1947-07-07,111.46564311365927
1947-07-08,111.52397081928868
1947-07-09,111.5822985249181
1947-07-10,111.64062623054751
1947-07-11,111.69895393617692
1947-07-14,111.87393705306515
1947-07-15,111.93226475869456
1947-07-16,111.99059246432397
1947-07-17,112.04892016995338
1947-07-18,112.10724787558279
1947-07-21,112.28223099247101
1947-07-22,112.34055869810042
1947-07-23,112.39888640372983
1947-07-24,112.45721410935924
1947-07-25,112.51554181498867
1947-07-28,112.6905249318769
1947-07-29,112.7488526375063
1947-07-30,112.80718034313571
1947-07-31,112.86550804876512
1947-08-01,112.92383575439453
1947-08-04,111.61161779588268
1947-08-05,111.17421180971208
1947-08-06,110.73680582354146
1947-08-07,110.29939983737084
1947-08-08,109.86199385120022
1947-08-11,108.54977589268839
1947-08-12,108.11236990651777
1947-08-13,107.67496392034715
1947-08-14,107.23755793417654
1947-08-15,106.80015194800592
1947-08-18,105.48793398949408
1947-08-19,105.05052800332346
1947-08-20,104.61312201715285
1947-08-21,104.17571603098223
1947-08-22,103.73831004481161
1947-08-25,102.42609208629978
1947-08-26,101.98868610012916
1947-08-27,101.55128011395854
1947-08-28,101.11387412778792
1947-08-29,100.6764681416173
1947-09-01,99.36425018310547
1947-09-02,99.09722620646158
1947-09-03,98.83020222981771
1947-09-04,98.56317825317383
1947-09-05,98.29615427652995
1947-09-08,97.49508234659831
1947-09-09,97.22805836995443
1947-09-10,96.96103439331054
1947-09-11,96.69401041666667
1947-09-12,96.42698644002279
1947-09-15,95.62591451009115
1947-09-16,95.35889053344727
1947-09-17,95.09186655680338
1947-09-18,94.82484258015951
1947-09-19,94.55781860351563
1947-09-22,93.75674667358399
1947-09-23,93.4897226969401
1947-09-24,93.22269872029622
1947-09-25,92.95567474365234
1947-09-26,92.68865076700847
1947-09-29,91.88757883707682
1947-09-30,91.62055486043295
1947-10-01,91.35353088378906
1947-10-02,91.15077873968309
1947-10-03,90.94802659557712
1947-10-06,90.3397701632592
1947-10-07,90.13701801915323
1947-10-08,89.93426587504726
1947-10-09,89.73151373094127
1947-10-10,89.5287615868353
1947-10-13,88.92050515451739
1947-10-14,88.71775301041141
1947-10-15,88.51500086630544
1947-10-16,88.31224872219947
1947-10-17,88.1094965780935
1947-10-20,87.50124014577558
1947-10-21,87.29848800166961
1947-10-22,87.09573585756364
1947-10-23,86.89298371345767
1947-10-24,86.6902315693517
1947-10-27,86.08197513703377
1947-10-28,85.8792229929278
1947-10-29,85.67647084882182
1947-10-30,85.47371870471585
1947-10-31,85.27096656060988
1947-11-03,85.53343556722005
1947-11-04,85.76604614257812
1947-11-05,85.9986567179362
1947-11-06,86.23126729329427
1947-11-07,86.46387786865235
1947-11-10,87.16170959472656
1947-11-11,87.39432017008464
1947-11-12,87.6269307454427
1947-11-13,87.85954132080079
1947-11-14,88.09215189615885
1947-11-17,88.78998362223307
1947-11-18,89.02259419759115
1947-11-19,89.25520477294921
1947-11-20,89.4878153483073
1947-11-21,89.72042592366536
1947-11-24,90.41825764973959
1947-11-25,90.65086822509765
1947-11-26,90.88347880045573
1947-11-27,91.1160893758138
1947-11-28,91.34869995117188
1947-12-01,92.0465316772461
1947-12-02,91.98687522642074
1947-12-03,91.92721877559539
1947-12-04,91.86756232477003
1947-12-05,91.80790587394468
1947-12-08,91.62893652146862
1947-12-09,91.56928007064327
1947-12-10,91.50962361981792
1947-12-11,91.44996716899257
1947-12-12,91.39031071816721
1947-12-15,91.21134136569115
1947-12-16,91.1516849148658
1947-12-17,91.09202846404045
1947-12-18,91.0323720132151
1947-12-19,90.97271556238974
1947-12-22,90.79374620991368
1947-12-23,90.73408975908833
1947-12-24,90.67443330826298
1947-12-25,90.61477685743763
1947-12-26,90.55512040661228
1947-12-29,90.37615105413622
1947-12-30,90.31649460331086
1947-12-31,90.25683815248551
1948-01-01,90.19718170166016
1948-01-02,90.5535157726657
1948-01-05,91.62251798568234
1948-01-06,91.97885205668788
1948-01-07,92.33518612769342
1948-01-08,92.69152019869897
1948-01-09,93.04785426970452
1948-01-12,94.11685648272115
1948-01-13,94.4731905537267
1948-01-14,94.82952462473223
1948-01-15,95.18585869573778
1948-01-16,95.54219276674333
1948-01-19,96.61119497975996
1948-01-20,96.96752905076549
1948-01-21,97.32386312177104
1948-01-22,97.68019719277659
1948-01-23,98.03653126378214
1948-01-26,99.10553347679877
1948-01-27,99.4618675478043
1948-01-28,99.81820161880985
1948-01-29,100.1745356898154
1948-01-30,100.53086976082095
1948-02-02,102.54986098716999
1948-02-03,103.85618407150795
1948-02-04,105.1625071558459
1948-02-05,106.46883024018386
1948-02-06,107.77515332452182
1948-02-09,111.6941225775357
1948-02-10,113.00044566187366
1948-02-11,114.30676874621162
1948-02-12,115.61309183054956
1948-02-13,116.91941491488753
1948-02-16,120.8383841679014
1948-02-17,122.14470725223936
1948-02-18,123.45103033657732
1948-02-19,124.75735342091528
1948-02-20,126.06367650525323
1948-02-23,129.9826457582671
1948-02-24,131.28896884260507
1948-02-25,132.59529192694302
1948-02-26,133.90161501128097
1948-02-27,135.20793809561894
1948-03-01,139.1269073486328
1948-03-02,138.6902086811681
1948-03-03,138.2535100137034
1948-03-04,137.81681134623867
1948-03-05,137.38011267877394
1948-03-08,136.0700166763798
1948-03-09,135.63331800891507
